,ticker,start,price_start,price_end,pct_variation
0,WPC,2025-06-01,62.27000045776367,62.380001068115234,0.17665105113685267
1,CTO,2025-06-01,18.43000030517578,17.260000228881836,-6.348345398374024
2,CTO-PA,2025-06-01,21.399999618530273,20.1299991607666,-5.934581684122918
3,VTR,2025-06-01,64.08999633789062,63.150001525878906,-1.4666794597021762
4,DOC,2025-06-01,17.40999984741211,17.510000228881836,0.5743847349004486
5,OHI,2025-06-01,37.060001373291016,36.650001525878906,-1.1063136325396752
6,HR,2025-06-01,14.359999656677246,15.859999656677246,10.445682700991682
7,LTC,2025-06-01,35.27000045776367,34.61000061035156,-1.8712782502015235
8,PK,2025-06-01,10.149999618530273,10.229999542236328,0.7881766178592107
9,PSA-PH,2025-06-01,22.613399505615234,22.420000076293945,-0.8552426152169876
10,PSA-PK,2025-06-01,18.809999465942383,18.920000076293945,0.5847985830660494
11,EXR,2025-06-01,152.99000549316406,147.44000244140625,-3.6276899486782486
12,CUBE,2025-06-01,43.25,42.5,-1.7341040462427744
13,REXR,2025-06-01,35.31999969482422,35.56999969482422,0.7078142756514093
14,EGP,2025-06-01,170.67999267578125,167.1199951171875,-2.085773207968328
15,REXR-PB,2025-06-01,22.850000381469727,22.395000457763672,-1.9912468976369828
16,LXP,2025-06-01,8.600000381469727,8.260000228881836,-3.9534899710060842
17,LXP-PC,2025-06-01,45.86000061035156,46.310001373291016,0.9812489248809092
18,ILPT,2025-06-01,3.25,4.550000190734863,40.00000586876503
19,PSA-PG,2025-06-01,20.3700008392334,20.020000457763672,-1.718214860333302
20,PSA-PJ,2025-06-01,18.729999542236328,18.420000076293945,-1.6550959611255252
21,PSA-PL,2025-06-01,18.5049991607666,18.260000228881836,-1.3239607835497795
22,PSA-PM,2025-06-01,16.469999313354492,16.579999923706055,0.6678847294326836
23,PSA-PN,2025-06-01,15.470000267028809,15.300000190734863,-1.0989015731064093
24,PSA-PO,2025-06-01,15.461799621582031,15.40999984741211,-0.3350177562618147
25,PSA-PP,2025-06-01,15.851099967956543,15.760000228881836,-0.5747218758248184
26,PSA-PQ,2025-06-01,15.59000015258789,15.699999809265137,0.7055782912162866
27,PSA-PR,2025-06-01,15.880000114440918,15.729999542236328,-0.9445879793677248
28,PSA-PS,2025-06-01,16.235000610351562,16.219999313354492,-0.0924009635546633
29,VNO-PL,2025-06-01,17.709999084472656,17.09000015258789,-3.500841128943667
30,VNO-PM,2025-06-01,16.790000915527344,16.549999237060547,-1.4294321940438015
31,HIW,2025-06-01,30.25,31.09000015258789,2.77686000855501
32,JBGS,2025-06-01,17.579999923706055,17.299999237060547,-1.592722911607844
33,PGRE,2025-06-01,6.059999942779541,6.099999904632568,0.660065383345211
34,PDM,2025-06-01,7.360000133514404,7.289999961853027,-0.9510892716241275
35,CIO-PA,2025-06-01,17.81999969482422,19.440000534057617,9.090913956098014
36,PSTL,2025-06-01,14.029999732971191,14.729999542236328,4.989307359857625
37,CIO,2025-06-01,4.949999809265137,5.340000152587891,7.878795118189151
38,VNO-PN,2025-06-01,16.56999969482422,16.510000228881836,-0.36209696467963215
39,INVH,2025-06-01,33.66999816894531,32.79999923706055,-2.5838995521157693
40,ESS,2025-06-01,284.6600036621094,283.3999938964844,-0.4426367418728161
41,SUI,2025-06-01,123.81999969482422,126.48999786376953,2.1563545271571507
42,AMH,2025-06-01,37.869998931884766,36.06999969482422,-4.753100839263642
43,UDR,2025-06-01,41.40999984741211,40.83000183105469,-1.4006230825757138
44,ELS,2025-06-01,63.40999984741211,61.66999816894531,-2.7440493339439898
45,MAA-PI,2025-06-01,54.0,54.241600036621094,0.44740747522424773
46,CPT,2025-06-01,117.83000183105469,112.69000244140625,-4.362216167167847
47,IRT,2025-06-01,18.459999084472656,17.690000534057617,-4.171173286041555
48,NXRT,2025-06-01,33.88999938964844,33.31999969482422,-1.681911198258454
49,CSR,2025-06-01,63.849998474121094,60.189998626708984,-5.732184706152399
50,MRP,2025-06-01,27.68000030517578,28.510000228881836,2.9985546046069085
51,ADC,2025-06-01,75.4800033569336,73.05999755859375,-3.2061548631575967
52,KIM-PM,2025-06-01,20.200000762939453,19.950000762939453,-1.2376237156320813
53,KIM-PL,2025-06-01,19.760000228881836,19.649999618530273,-0.5566832443189053
54,PECO,2025-06-01,35.95000076293945,35.029998779296875,-2.5591153382978513
55,AKR,2025-06-01,19.239999771118164,18.56999969482422,-3.4823289202929506
56,CURB,2025-06-01,22.739999771118164,22.829999923706055,0.3957790391106286
57,GTY,2025-06-01,29.079999923706055,27.639999389648438,-4.951858795858272
58,PINE,2025-06-01,15.4399995803833,14.710000038146973,-4.727976438314164
59,KIM-PN,2025-06-01,59.0,60.0,1.694915254237288
60,REGCO,2025-06-01,21.950000762939453,22.459999084472656,2.3234546870462442
61,REGCP,2025-06-01,22.850000381469727,23.719999313354492,3.8074350869170823
